sha256,gt_family,gt_confidence,gt_reason,prediction,confidence,method,correct,category,evidence,classes,strings,crypter_stub,extraction_status,c2_count,c2_values,obf_score,perms,candidates,needs_manual_review
269a98c5a2e16675eacd3490f382ac08d894737e629b92c1a69070cc471eed36,NGate,high,vt_consensus_13,unknown,0.2,llm,no,abstention_no_signal,predicted unknown @ 0.2; cls=11 str=58,11,58,,,0,,51.5,,unknown@0.2,False
9b5905a253141d4f64394de73775541a7bb16714cff8d18684e24ae887c97fc2,BankBot,medium,vt_detected_3,unknown,0.3,llm,no,empty_extraction,classes=0 strings=0 (status=n/a); predicted unknown @ 0.3,0,0,,,0,,0.0,,unknown@0.3,False
51f9c37c3eec0b6f8325aa1c8fe64a0615ab920584042df557426473b1270b40,BankBot,high,vt_consensus_43,Iconosys,0.85,signature_v3,no,false_positive,predicted Iconosys @ 0.85,552,1471,,,0,,55.0,android.permission.INTERNET; android.permission.WRITE_CONTACTS; android.permission.READ_CONTACTS; android.permission.MANAGE_OWN_CALLS; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS; android.permission.BROADCAST_STICKY; android.permission.QUICKBOOT,Iconosys@0.85,False
87def7f445734b4b9b57b97cd4af8d22b2684dd4dd3e7ae8d07a120efa3b1814,SpyNote,high,vt_consensus_30,Plankton,0.85,signature_v3,no,false_positive,predicted Plankton @ 0.85,676,1177,,,1,,31.5,android.permission.FOREGROUND_SERVICE; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.GET_ACCOUNTS; android.permission.RECEIVE_BOOT_COMPLETED; and,Plankton@0.85,False
752f3cacdad6753d4c02bb8e40ef3e0990b55466c18a7b80ec6fa7b9706e40ab,Andr/NGate-G,high,vt_consensus_23,NGate,0.85,signature_v3,yes,unknown,unexpected: matched family in wrong set,1459,184,,,1,,16.5,,NGate@0.85,False
3cb4b373a24afb10b8003762e763e6b44008bdf9a58d0a9a2b80a5de68308ecd,NGate,high,vt_consensus_28,NGate,0.85,signature_v3,yes,unknown,unexpected: matched family in wrong set,1987,401,,,1,,16.5,android.permission.NFC; android.permission.NFC_PREFERRED_PAYMENT_INFO; android.permission.WAKE_LOCK; android.permission.ACCESS_NETWORK_STATE; android.permission.INTERNET; android.permission.INTERNET; android.permission.FOREGROUND_SERVICE; android.permission.FOREGROUND_SERVICE_DATA_SYNC; android.perm,NGate@0.85,False
6d29e6e5372cd0690e0df62eb6d98938e91191b0e639fed2476497baa8255405,NGate,high,vt_consensus_24,NGate,0.85,signature_v3,yes,unknown,unexpected: matched family in wrong set,1459,184,,,1,,16.5,,NGate@0.85,False
ce462b41ab7480dce4f290a9921fca51ba40e502d480a348d50770607e3d02b9,NGate,high,vt_consensus_22,NGate,0.85,signature_v3,yes,unknown,unexpected: matched family in wrong set,1459,184,,,1,,16.5,,NGate@0.85,False
33d2ea973f861bb7c46397c4e0f9aedc37ef10fb8ab2f4090f35a335d86ef0b2,SpyMax,high,vt_consensus_29,SpyMax,0.8,signature_v3,yes,unknown,unexpected: matched family in wrong set,2661,5372,,,4,,45.0,android.permission.SEND_SMS; android.permission.RECEIVE_SMS; android.permission.READ_SMS; android.permission.SET_WALLPAPER; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CAMERA; android.permission.RECORD_AUDIO; android.permiss,SpyMax@0.8,False
97936d7873348f905d119dd9399261374aae494296e1b5fb3df521ef3cc76405,SpyMax,high,vt_consensus_30,SpyMax,0.8,signature_v3,yes,unknown,unexpected: matched family in wrong set,1731,4939,,,2,,45.0,android.permission.SEND_SMS; android.permission.SET_WALLPAPER; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CAMERA; android.permission.RECORD_AUDIO; android.permission.ACCESS_COARSE_LOCATION; andr,SpyMax@0.8,False
9c1cc79b801e8d632bdb73517588e9e7626cf22643263f038c20cc42dfd0f922,SpyMax,high,vt_consensus_31,SpyMax,0.8,signature_v3,yes,unknown,unexpected: matched family in wrong set,1553,4119,,,3,,45.0,android.permission.SEND_SMS; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CAMERA; android.permission.RECORD_AUDIO; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_FINE_LOCATIO,SpyMax@0.8,False
ab1363201d0897ab7c55dceb1f8664a58ac65fe4aee3c9600c5d7659f8ae58a9,SpyMax,high,vt_consensus_25,SpyMax,0.8,signature_v3,yes,unknown,unexpected: matched family in wrong set,1731,4940,,,3,,45.0,android.permission.SEND_SMS; android.permission.SET_WALLPAPER; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CAMERA; android.permission.RECORD_AUDIO; android.permission.ACCESS_COARSE_LOCATION; andr,SpyMax@0.8,False
bf06df823a0a0b1b4618ee736f5f0bd508b315ea3c6b96a16d2a0d0e58906346,SpyMax,high,vt_consensus_28,SpyMax,0.8,signature_v3,yes,unknown,unexpected: matched family in wrong set,1731,4938,,,3,,45.0,android.permission.SEND_SMS; android.permission.SET_WALLPAPER; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CAMERA; android.permission.RECORD_AUDIO; android.permission.ACCESS_COARSE_LOCATION; andr,SpyMax@0.8,False
